rank,seller_id,orders,reviewed_orders,mean_score,bad_reviews,canceled_orders,late_rate,revenue,bad_share,cancel_rate,bad_share_lower_bound,seller_state,seller_city
207,8b28d096634035667e8263d57ba3368c,143,141,3.972,22,1,0.1103,9375.7,0.156,0.007,0.1053,SP,sao jose dos campos
208,b56906f7fd1696e043f1bcce164c487b,40,40,4.0,8,0,0.0513,2148.49,0.2,0.0,0.105,SP,echapora
209,1ce3ae5a399804d1a87e706f8a813c3e,40,40,3.75,8,0,0.0769,2563.0,0.2,0.0,0.105,SC,jaguaruna
210,0ef83d7d83ed97cd2a0049ac8be5f88a,48,47,4.149,9,0,0.0217,4421.01,0.1915,0.0,0.1042,PR,curitiba
211,7d76b645482be4a332374e8223836592,176,174,3.96,26,0,0.0936,3843.93,0.1494,0.0,0.104,SP,sao paulo
212,fcb5ace8bcc92f75707dc0f01a27d269,62,61,3.852,11,1,0.0351,8318.63,0.1803,0.0161,0.1038,SP,guarulhos
213,4e17c65a516f69d023a2ae78b84f28d6,61,61,4.23,11,0,0.05,7639.26,0.1803,0.0,0.1038,SP,suzano
214,7a241947449cc45dbfda4f9d0798d9d0,62,61,3.869,11,1,0.0727,8027.63,0.1803,0.0161,0.1038,MG,jacutinga
215,813348c996469b40f2e028d5429d3495,179,175,4.057,26,0,0.0465,11205.83,0.1486,0.0,0.1035,SP,jundiai
216,e96498ed8daaa3e9c23f7a62da76591c,34,34,3.941,7,0,0.1471,9619.09,0.2059,0.0,0.1035,SP,sao paulo
217,3ab971ce71839580d2ae5b4e40fe8044,36,34,3.912,7,0,0.0588,5002.9,0.2059,0.0,0.1035,SP,sao paulo
218,620c87c171fb2a6dd6e8bb4dec959fc6,740,733,4.251,92,6,0.0879,114774.5,0.1255,0.0081,0.1035,RJ,petropolis
219,dd533b429f380718b70ad9922c294bae,41,41,3.78,8,0,0.1026,2819.77,0.1951,0.0,0.1023,SP,barretos
220,e7d5b006eb624f13074497221eb37807,28,28,3.929,6,0,0.0714,3478.93,0.2143,0.0,0.1021,SP,santo andre
221,da8622b14eb17ae2831f4ac5b9dab84a,1314,1308,4.176,155,0,0.0677,160236.57,0.1185,0.0,0.1021,SP,piracicaba
222,d379f449f2a3b271bc01c0782020f705,28,28,3.893,6,0,0.0357,4423.06,0.2143,0.0,0.1021,MG,divinopolis
223,b92e3c8f9738272ff7c59e111e108d7c,62,62,4.161,11,0,0.0328,8231.09,0.1774,0.0,0.102,MG,uba
224,48436dade18ac8b2bce089ec2a041202,138,138,4.014,21,0,0.0746,12271.71,0.1522,0.0,0.1018,SP,volta redonda
225,eed78ac17f7f795a19a709745f00cd4e,22,22,3.773,5,0,0.0,4349.5,0.2273,0.0,0.1012,SP,botucatu
226,681fce914360217db47784ae28905a96,23,22,4.0,5,0,0.1364,4127.33,0.2273,0.0,0.1012,PR,araucaria
227,e99e927c81e3f51739c94fcdfca9f10f,22,22,3.636,5,0,0.0476,2702.83,0.2273,0.0,0.1012,MG,uberlandia
228,f4aba7c0bca51484c30ab7bdc34bcdd1,110,108,3.944,17,0,0.0556,3009.79,0.1574,0.0,0.1007,SP,sao paulo
229,0c8380b62e38e8a1e6adbeba7eb9688c,182,180,4.039,26,0,0.05,17348.79,0.1444,0.0,0.1005,MG,tres coracoes
230,4c18691b6037662be2df78a765d98ab5,63,63,3.873,11,0,0.0645,3195.52,0.1746,0.0,0.1004,SP,sao paulo
231,a17f621c590ea0fab3d5d883e1630ec6,65,63,4.063,11,2,0.0645,2778.58,0.1746,0.0308,0.1004,SP,sorocaba
232,71039d19d4303bf9054d69e9a9236699,35,35,3.8,7,0,0.2,3537.2,0.2,0.0,0.1004,SP,sao paulo
233,dd55f1bb788714a40e7954c3be6df745,35,35,3.743,7,0,0.1714,7041.76,0.2,0.0,0.1004,SP,sao paulo
234,f27e33c6d29b5138fa9967bcd445b6d5,93,93,4.097,15,0,0.086,8888.3,0.1613,0.0,0.1003,SP,sao paulo
235,440dd6ab244315c632130ecfb63827b1,94,93,3.849,15,1,0.1319,13696.9,0.1613,0.0106,0.1003,SP,votuporanga
236,ce7d1888639e6fb06b2749cbfdac1ff7,78,78,4.167,13,0,0.0909,11793.89,0.1667,0.0,0.1001,MG,baependi
237,abe42c5d03695b4257b5c6cbf4e6784e,50,49,3.918,9,0,0.1633,17159.0,0.1837,0.0,0.0998,RJ,rio de janeiro
238,1da366cade6d8276e7d8beea7af5d4bf,43,42,3.929,8,0,0.0732,6917.59,0.1905,0.0,0.0998,MG,uba
239,50c9975695009e5e6473912e83a6d1da,50,49,3.939,9,0,0.14,3964.4,0.1837,0.0,0.0998,MG,claudio
240,95e03ca3d4146e4011985981aeb959b9,175,173,4.006,25,0,0.0355,11009.96,0.1445,0.0,0.0998,RJ,rio de janeiro
241,8b9d6eec4a7eb7d0f9d579ce0b38324d,49,49,4.0,9,0,0.1489,4232.54,0.1837,0.0,0.0998,RJ,mesquita
242,218d46b86c1881d022bce9c68a7d4b15,388,386,4.155,50,1,0.0842,55093.28,0.1295,0.0026,0.0996,SP,ribeirao preto
243,00fc707aaaad2d31347cf883cd2dfe10,103,102,4.078,16,0,0.0388,12684.9,0.1569,0.0,0.099,PR,maringa
244,3ade81dab5a172b88e1871c28ae05260,30,29,4.0,6,0,0.1071,5751.6,0.2069,0.0,0.0985,SP,sao jose do rio preto
245,4aba391bc3b88717ce08eb11e44937b2,29,29,3.897,6,1,0.1481,7595.87,0.2069,0.0345,0.0985,BA,arraial d'ajuda (porto seguro)
246,4ebdc7e6cd6102a022dadc49156d4ea8,29,29,3.793,6,0,0.0345,928.7,0.2069,0.0,0.0985,SP,sao paulo
247,4992e76a42cb3aad7a7047e0d3d7e729,57,57,3.912,10,0,0.0566,2211.1,0.1754,0.0,0.0982,SP,sao paulo
248,8648b1e89e9b349e32d3741b30ec737e,95,95,4.084,15,0,0.0978,7442.55,0.1579,0.0,0.0981,SP,jacarei
249,955fee9216a65b617aa5c0531780ce60,1287,1277,4.157,146,1,0.0625,135171.7,0.1143,0.0008,0.098,SP,sao paulo
250,09f952a5f58d2285b0372551ae8f9b01,50,50,3.84,9,0,0.0612,11821.5,0.18,0.0,0.0977,SP,sao bernardo do campo
251,a6fe7de3d16f6149ffe280349a8535a0,51,50,3.98,9,0,0.12,2904.8,0.18,0.0,0.0977,SP,franca
252,6b3bd31ad8fcda4b2635ec9f3ff2ecdf,36,36,4.0,7,0,0.0857,4198.9,0.1944,0.0,0.0975,RJ,rio de janeiro
253,3c03b12bab54d8b37d79d914bfdb1aa0,37,36,3.833,7,0,0.1622,4236.34,0.1944,0.0,0.0975,RJ,sao joao de meriti
254,3d871de0142ce09b7081e2b9d1733cb1,1080,1069,4.152,123,4,0.0549,94914.2,0.1151,0.0037,0.0973,SP,campo limpo paulista
255,adbc26658d6c7b4b6219f9d934598091,88,88,4.125,14,0,0.1412,11806.4,0.1591,0.0,0.0972,PR,curitiba
256,244c2f1bff6afe1f2eaf9bfe9b2aed38,23,23,3.652,5,0,0.087,2580.0,0.2174,0.0,0.0966,SP,mogi das cruzes
257,5c853bb56f70f4d14218944bae111d7a,23,23,4.0,5,0,0.0,263.13,0.2174,0.0,0.0966,SP,cotia
258,157c3e4b42f81ac4a44e8b1ca2fe9876,23,23,3.696,5,0,0.0909,2548.5,0.2174,0.0,0.0966,SP,sao paulo
259,2b1a40c1daabc6ca280c4b815c101841,23,23,3.696,5,1,0.0455,12732.6,0.2174,0.0435,0.0966,MG,divinopolis
260,23a0ffca143a15b9b5bbdb7d552f626a,23,23,3.913,5,0,0.1304,3718.51,0.2174,0.0,0.0966,SP,sao pedro
261,04e38a233f726ef161074ab1c9b0399a,23,23,3.652,5,0,0.0526,1352.2,0.2174,0.0,0.0966,SP,sao paulo
262,76d5af76d0271110f9af36c92573f765,131,130,4.115,19,0,0.0952,33461.6,0.1462,0.0,0.0956,SP,sao paulo
263,e9779976487b77c6d4ac45f75ec7afe9,657,653,4.216,77,1,0.0615,43162.95,0.1179,0.0015,0.0954,SP,praia grande
264,c9aafcd0621b2207c10e32c649cada4d,44,44,4.023,8,0,0.075,2997.25,0.1818,0.0,0.0951,SP,sao paulo
265,40d54b51e962dbe09cabbcfd33298dee,30,30,4.0,6,0,0.0,6785.56,0.2,0.0,0.095,SP,santo andre
266,06e5eefc71ec47ae763c5c6f8db7064f,92,90,3.922,14,0,0.0,22188.56,0.1556,0.0,0.095,RS,porto alegre
267,1d8dbc4f32378d715c717c1c1fc57bae,92,90,4.022,14,0,0.0879,11315.89,0.1556,0.0,0.095,PR,arapongas
268,9b013e03b2ab786505a1d3b5c0756754,174,173,4.156,24,0,0.0419,9027.4,0.1387,0.0,0.095,SP,vicente de carvalho
269,4d6d651bd7684af3fffabd5f08d12e5a,369,368,4.193,46,1,0.0389,43587.4,0.125,0.0027,0.095,SP,jau
270,63b464dbf392c7b80d12d932fa7cafed,37,37,3.784,7,0,0.0556,6781.0,0.1892,0.0,0.0948,SP,sao paulo
271,17ca9b9e9b9ef8fdb529001b49ebb50f,116,116,4.043,17,0,0.0093,9754.83,0.1466,0.0,0.0936,MG,betim
272,0dd184061fb0eaa7ca37932c68ab91c5,161,160,4.031,22,0,0.109,18446.92,0.1375,0.0,0.0926,SP,guarulhos
273,e6a69c4a27dfdd98ffe5aa757ad744bc,24,24,3.875,5,1,0.0,2076.2,0.2083,0.0417,0.0924,SP,sao paulo
274,a938325a4b357fd23a6a4d5bb126408e,24,24,3.833,5,0,0.0417,3231.0,0.2083,0.0,0.0924,RJ,nilopolis
275,977f9f63dd360c2a32ece2f93ad6d306,24,24,3.75,5,0,0.087,2858.87,0.2083,0.0,0.0924,SP,tabatinga
276,b33e7c55446eabf8fe1a42d037ac7d6d,152,152,4.164,21,0,0.1164,44985.17,0.1382,0.0,0.0922,SP,pradopolis
277,4e06067cc08b3f41d837768d392c3ee3,31,31,4.129,6,0,0.0345,941.72,0.1935,0.0,0.0918,MG,betim
278,3c4e0452bff7a2a788179488d3d77032,32,31,3.839,6,0,0.0312,3746.4,0.1935,0.0,0.0918,PR,colombo
279,2e90cb1677d35cfe24eef47d441b7c87,127,127,4.118,18,0,0.128,13894.71,0.1417,0.0,0.0915,SP,sao paulo
280,79ebd9a61bac3eaf882805ed4ecfa12a,136,136,4.044,19,0,0.0455,15092.79,0.1397,0.0,0.0913,PR,cascavel
281,17e34d8224d27a541263c4c64b11a56b,255,253,4.186,32,2,0.0776,56363.24,0.1265,0.0078,0.0911,SP,riberao preto
282,53243585a1d6dc2643021fd1853d8905,358,356,4.132,43,0,0.0345,222776.05,0.1208,0.0,0.0909,BA,lauro de freitas
283,1da3aeb70d7989d1e6d9b0e887f97c23,265,263,4.163,33,1,0.0465,8823.52,0.1255,0.0038,0.0908,SP,sao paulo
284,ff1fb4c404b2efe68b03350a8dc24122,46,46,4.0,8,0,0.1364,6771.0,0.1739,0.0,0.0908,SP,mogi das cruzes
285,004c9cd9d87a3c30c522c48c4fc07416,158,155,4.129,21,0,0.0641,19712.71,0.1355,0.0,0.0904,SP,ibitinga
286,a888faf2d1baececa6baf9c3d603ee1f,54,54,4.037,9,0,0.0943,17765.8,0.1667,0.0,0.0903,PR,umuarama
287,34056b8b55c1775a22af2331670a799c,78,78,4.0,12,0,0.1169,6455.4,0.1538,0.0,0.0902,SP,penapolis
288,2e1c9f22be269ef4643f826c9e650a52,167,164,4.165,22,1,0.0621,12687.68,0.1341,0.006,0.0902,SP,sao paulo
289,06579cb253ecd5a3a12a9e6eb6bf8f47,62,62,4.081,10,0,0.0656,4727.2,0.1613,0.0,0.09,SP,sao paulo - sp
290,0cbcee27c791afa0cdcb08587a2013a8,39,39,3.846,7,1,0.1081,5324.15,0.1795,0.0256,0.0898,MG,tres coracoes
291,9c0e69c7bf2619675bbadf47b43f655a,157,156,4.103,21,1,0.0861,33702.78,0.1346,0.0064,0.0897,SP,sao jose dos campos
292,7a67c85e85bb2ce8582c35f2203ad736,1160,1151,4.245,122,1,0.0521,141745.53,0.106,0.0009,0.0895,SP,sao paulo
293,d673a59aac7a70d8b01e6902bf090a11,79,79,3.911,12,0,0.0779,3908.94,0.1519,0.0,0.0891,SP,ibitinga
294,7e93a43ef30c4f03f38b393420bc753a,336,335,4.215,40,4,0.0479,176431.87,0.1194,0.0119,0.0889,SP,barueri
295,b4a476fbd28de64b1e347abf9089366a,33,32,3.844,6,0,0.0667,5724.04,0.1875,0.0,0.0889,SP,itapevi
296,3481aa57cd91f9f9d3fa1fa12d9a3bf7,25,25,3.88,5,0,0.0,1773.03,0.2,0.0,0.0886,SP,capivari
297,dc317f341ab0e22f39acbd9dbf9b4a1f,55,55,4.145,9,0,0.0545,18988.4,0.1636,0.0,0.0885,RS,cachoeirinha
298,6c177e38df6d3f34182b1f1d427231bf,55,55,4.036,9,0,0.0189,8341.89,0.1636,0.0,0.0885,PR,curitiba
299,a1043bafd471dff536d0c462352beb48,718,715,4.222,78,3,0.0483,101901.16,0.1091,0.0042,0.0883,MG,ilicinea
300,128639473a139ac0f3e5f5ade55873a5,533,527,4.186,59,0,0.0419,11908.85,0.112,0.0,0.0878,PR,maringa
301,daeb5653dd96c1b11860f72209795012,40,40,4.05,7,0,0.0811,2305.9,0.175,0.0,0.0875,MG,belo horizonte
302,2c9e548be18521d1c43cde1c582c6de8,126,124,4.113,17,0,0.1545,6109.44,0.1371,0.0,0.0874,SP,mogi das cruzes
303,86ccac0b835037332a596a33b6949ee1,180,179,4.196,23,1,0.0226,16619.93,0.1285,0.0056,0.0872,SC,blumenau
304,cbd996ad3c1b7dc71fd0e5f5df9087e2,165,161,4.149,21,0,0.0812,8411.04,0.1304,0.0,0.0869,SP,sao jose do rio preto
305,b499c00f28f4b7069ff6550af8c1348a,152,152,4.118,20,0,0.1319,10327.13,0.1316,0.0,0.0868,SP,limeira
306,8f2ce03f928b567e3d56181ae20ae952,153,152,4.105,20,0,0.1267,21712.9,0.1316,0.0,0.0868,SP,pirituba
307,ceaec5548eefc6e23e6607c5435102e7,203,199,4.146,25,2,0.051,52917.18,0.1256,0.0099,0.0865,SP,sao paulo
308,4830e40640734fc1c52cd21127c341d4,210,209,4.148,26,2,0.0493,9843.47,0.1244,0.0095,0.0863,SP,sao paulo
309,6860153b69cc696d5dcfe1cdaaafcf62,74,73,4.096,11,0,0.0822,3827.63,0.1507,0.0,0.0863,SP,capivari
310,b839e41795b7f3ad94cc2014a52f6796,33,33,4.091,6,0,0.0323,42829.0,0.1818,0.0,0.0861,SP,sao caetano do sul
311,d93919c944be9cff128f6c9cb899eacb,33,33,4.0,6,0,0.1515,2666.7,0.1818,0.0,0.0861,SP,mombuca
312,d5ba419e26d246a0719437cf37d9b46d,34,33,3.909,6,0,0.0909,4061.4,0.1818,0.0,0.0861,SP,sao paulo
313,a420f60ff1aa9acc80d0e42959f2b313,67,65,3.954,10,0,0.0769,7443.3,0.1538,0.0,0.0857,SP,sao paulo
314,e26901d5ab434ce92fd9b5c256820a4e,202,202,4.124,25,1,0.0152,11990.9,0.1238,0.005,0.0853,SP,maua
315,0adac9fbd9a2b63cccaac4f8756c1ca8,110,109,4.046,15,3,0.0571,15960.95,0.1376,0.0273,0.0852,SP,louveira
316,138dbe45fc62f1e244378131a6801526,49,49,4.082,8,0,0.0222,1125.56,0.1633,0.0,0.0852,SP,sao paulo
317,1336efc61c316ddf92c899eb817f7cae,74,74,4.0,11,0,0.0811,4837.31,0.1486,0.0,0.085,SP,assis
318,9e6229250fedbe05838fef417b74e7fb,74,74,3.892,11,0,0.0282,13132.2,0.1486,0.0,0.085,SP,mirandopolis
319,c8b0e2b0a7095e5d8219575d5e7e1181,84,83,4.084,12,0,0.0741,12170.21,0.1446,0.0,0.0847,SP,itaquaquecetuba
320,5a8e7d5003a1f221f9e1d6e411de7c23,139,138,4.145,18,1,0.0365,11171.9,0.1304,0.0072,0.0841,SP,campinas
321,048c2757535328e0d7dac690ad3c0aae,51,50,4.18,8,0,0.12,9264.78,0.16,0.0,0.0834,SP,franca
322,4559697a8f7e637227c2eeaed843baff,42,42,4.048,7,0,0.0769,3696.0,0.1667,0.0,0.0832,SP,presidente prudente
323,3b15288545f8928d3e65a8f949a28291,104,103,4.01,14,0,0.0693,14061.79,0.1359,0.0,0.0827,SP,ibitinga
324,0db783cfcd3b73998abc6e10e59a102f,132,131,4.206,17,0,0.0379,9077.4,0.1298,0.0,0.0826,SP,santos
325,fa1c13f2614d7b5c4749cbc52fecda94,585,581,4.339,61,1,0.0923,194042.03,0.105,0.0017,0.0826,SP,sumare
326,e62b2d6ac10570a035a30bafcf01d263,62,59,3.966,9,0,0.1129,5340.39,0.1525,0.0,0.0824,SP,sao paulo
327,582d4f8675b945722eda7c0cb61ba4c7,59,59,4.153,9,0,0.0172,4702.96,0.1525,0.0,0.0824,SP,bertioga
328,1c129092bf23f28a5930387c980c0dfc,201,200,4.235,24,0,0.045,9553.62,0.12,0.0,0.082,SP,sao paulo
329,669ae81880e08f269a64487cfb287169,162,161,4.242,20,1,0.0443,13248.87,0.1242,0.0062,0.0819,SC,rio do sul
330,38e679b9e0064cd94c6f035707344dae,28,27,4.0,5,1,0.037,3694.51,0.1852,0.0357,0.0818,PR,londrina
331,002100f778ceb8431b7a1020ff7ab48f,51,51,3.902,8,0,0.18,1234.5,0.1569,0.0,0.0817,SP,franca
332,f8db351d8c4c4c22c6835c19a46f01b0,667,663,4.238,68,1,0.0433,50525.6,0.1026,0.0015,0.0817,SP,salto
333,8581055ce74af1daba164fdbd55a40de,387,386,4.262,42,2,0.0824,64925.3,0.1088,0.0052,0.0815,SP,guarulhos
334,b39d7fe263ef469605dbb32608aee0af,44,43,3.884,7,0,0.0465,5193.1,0.1628,0.0,0.0812,SP,ibitinga
335,6f892e20a171e98efe17fdb971ff319b,44,43,3.93,7,0,0.0976,6438.7,0.1628,0.0,0.0812,SP,sao paulo
336,aaed1309374718fdd995ee4c58c9dfcd,105,105,4.067,14,0,0.0288,9376.95,0.1333,0.0,0.0811,SC,timbo
337,85d9eb9ddc5d00ca9336a2219c97bb13,509,506,4.18,53,1,0.022,15415.24,0.1047,0.002,0.0809,MG,belo horizonte
338,1a932caad4f9d804097d7f8e615baed1,20,20,3.9,4,0,0.1053,4661.0,0.2,0.0,0.0807,SP,sao paulo
339,f918546be4bec7104d117789ba758b2b,20,20,3.85,4,0,0.1579,1483.0,0.2,0.0,0.0807,SP,sao paulo
340,fd386aa7bed2af3c7035c65506c9b4a3,69,69,4.348,10,0,0.1061,2304.15,0.1449,0.0,0.0806,SP,sao paulo
341,951e8cef368f09bb3f3d03c00ca4702c,64,61,4.082,9,0,0.0645,4092.29,0.1475,0.0,0.0796,SP,ibitinga
342,0c7533c71df861ec58ad7ff999ed0e8d,61,61,4.148,9,0,0.0492,2989.3,0.1475,0.0,0.0796,SP,valinhos
343,db4350fd57ae30082dec7acbaacc17f9,137,136,4.14,17,0,0.0296,3331.31,0.125,0.0,0.0795,SP,sao paulo
344,ccc4bbb5f32a6ab2b7066a4130f114e3,187,186,4.285,22,0,0.0604,74004.62,0.1183,0.0,0.0794,PR,curitiba
345,a2e874074c877c5a05abae80ad6e488f,44,44,3.955,7,1,0.05,8071.98,0.1591,0.0227,0.0793,SP,sao jose do rio preto
346,ececbfcff9804a2d6b40f589df8eef2b,98,98,4.112,13,0,0.0947,6792.4,0.1327,0.0,0.0792,SP,franca
347,8931a84a914b3fe9b1ddaa4d704947ca,29,28,4.071,5,0,0.0714,4668.3,0.1786,0.0,0.0788,SP,sao paulo
348,14a08204d03bb6b6bde8029f801ae0eb,28,28,3.893,5,0,0.0,2185.4,0.1786,0.0,0.0788,SP,sao paulo
349,28f10b1c5e5abb9d4857745bede6147c,28,28,4.0,5,0,0.1429,835.0,0.1786,0.0,0.0788,SP,sao paulo
350,e8f6dc8e6a1dcde89d20e3995c8d90b3,36,36,3.917,6,0,0.0857,2256.34,0.1667,0.0,0.0787,SP,sao paulo
351,bf84056e679dbe9c69929847a40e338f,36,36,3.75,6,0,0.0571,2024.04,0.1667,0.0,0.0787,SP,sao paulo
352,99002261c568a84cce14d43fcffb43ea,36,36,3.722,6,0,0.0556,4088.0,0.1667,0.0,0.0787,MT,cuiaba
353,bba74270a87732727b5a3b4fd9ac1c39,36,36,3.972,6,0,0.0,6001.59,0.1667,0.0,0.0787,MG,betim
354,96493fab2fbb13a14d0c0e8772eef5c3,63,62,4.065,9,0,0.0635,18969.0,0.1452,0.0,0.0783,SP,sao paulo
355,82bd0703a4aefd6b599e5bfdaed378fb,21,21,3.905,4,1,0.05,2692.28,0.1905,0.0476,0.0767,SP,marilia
356,7139dc5186aa238b006e066d8fbab2e4,22,21,4.0,4,0,0.1364,1712.0,0.1905,0.0,0.0767,SP,amparo
357,2a6fbeaa7ab9e5d59a35841a8da71ce4,30,29,3.931,5,0,0.0667,1632.79,0.1724,0.0,0.076,SC,jaragua do sul
358,94e93ce877be27a515118dbfd2c2be41,30,29,3.931,5,0,0.0,5674.57,0.1724,0.0,0.076,SP,votuporanga
359,e06f09ec0a4aca210779cf1cfc63cf19,29,29,3.966,5,0,0.069,5279.49,0.1724,0.0,0.076,SP,sao paulo
360,271c58a1d139c45eaf3316107c6d3a3b,29,29,4.069,5,0,0.0741,3897.52,0.1724,0.0,0.076,SP,sao paulo
361,056b4ada5bbc2c50cc7842547dda6b51,65,64,4.172,9,0,0.1148,12333.39,0.1406,0.0,0.0758,RJ,queimados
362,1838dd9b8977065acf51d95e0053ea7a,64,64,4.266,9,0,0.0323,2820.3,0.1406,0.0,0.0758,MG,belo horizonte
363,76d64c4aca3a7baf218bf93ef7fa768d,64,64,4.234,9,0,0.0312,16911.8,0.1406,0.0,0.0758,PR,curitiba
364,432c37c9dfba871172ec162e20118b8c,46,46,4.109,7,1,0.0909,2968.87,0.1522,0.0217,0.0757,DF,brasilia
365,3df020b72d3d44b3af9d110fa3940b65,55,55,4.055,8,0,0.0926,5039.9,0.1455,0.0,0.0756,SP,jales
366,de23c3b98a88888289c6f5cc1209054a,164,164,4.256,19,1,0.075,26399.67,0.1159,0.0061,0.0755,SP,sao paulo
367,9f505651f4a6abe901a56cdc21508025,397,394,4.34,40,0,0.0423,26361.82,0.1015,0.0,0.0754,SP,sao paulo
368,f7ba60f8c3f99e7ee4042fdef03b70c4,219,219,4.205,24,0,0.1389,68395.0,0.1096,0.0,0.0748,SP,sao bernardo do campo
369,5d0363b33554b373851fc1622e4d5f3c,94,94,4.043,12,0,0.086,6610.79,0.1277,0.0,0.0746,SP,atibaia
370,8a432f4e5b471f8da497d7dc517666e2,95,94,4.191,12,0,0.0122,7555.0,0.1277,0.0,0.0746,SP,presidente prudente
371,ce248b21cb2adc36282ede306b7660e5,65,65,4.185,9,1,0.0781,15230.06,0.1385,0.0154,0.0746,SC,jaragua do sul
372,0176f73cc1195f367f7b32db1e5b3aa8,38,38,4.079,6,0,0.1111,4733.1,0.1579,0.0,0.0744,SP,ibitinga
373,96804ea39d96eb908e7c3afdb671bb9e,38,38,4.053,6,0,0.027,3610.7,0.1579,0.0,0.0744,MG,ibia
374,1a3df491d1c4f1589fc2b934ada68bf2,167,167,4.192,19,0,0.038,23302.7,0.1138,0.0,0.0741,SC,joinville
375,4c03b9dd4c11ee2cb35c96c49efc9420,48,47,4.106,7,0,0.0208,6458.6,0.1489,0.0,0.074,SP,campo limpo paulista
376,0691148aee60ca47977c187804f935ae,47,47,4.17,7,0,0.0217,5868.51,0.1489,0.0,0.074,PR,londrina
377,b76dba6c951ab00dc4edf0a1aa88037e,159,157,4.178,18,0,0.0323,2574.78,0.1146,0.0,0.0737,SP,sao paulo
378,7e1fb0a3ebfb01ffb3a7dae98bf3238d,159,157,4.159,18,2,0.1161,27349.53,0.1146,0.0126,0.0737,SP,franca
379,1554a68530182680ad5c8b042c3ab563,247,245,4.314,26,0,0.062,29052.53,0.1061,0.0,0.0734,MG,monte siao
380,6ec1a01e866584bb679eb9b098345919,31,30,4.133,5,0,0.2,4248.91,0.1667,0.0,0.0734,SP,santos
381,259f7b5e6e482c230e5bfaa670b6bb8f,138,137,4.299,16,0,0.0152,8526.04,0.1168,0.0,0.0732,SP,poa
382,2156f2671501a81034d7d07f217609d0,22,22,3.864,4,0,0.15,2981.5,0.1818,0.0,0.0731,SP,sp
383,55f7a3319d80f7fdf078b8f03e6725fe,22,22,3.773,4,0,0.0455,3013.78,0.1818,0.0,0.0731,SP,osasco
384,fb89df7f89fd1b8f03fa2acca1ba7364,22,22,3.864,4,0,0.0909,2220.0,0.1818,0.0,0.0731,PR,foz do iguacu
385,6a8b085f816a1f75f92dbac6eb545f8f,127,127,4.11,15,0,0.0738,6018.97,0.1181,0.0,0.0729,SP,bebedouro
386,f5a590cf36251cf1162ea35bef76fe84,117,117,4.231,14,3,0.0741,53201.78,0.1197,0.0256,0.0727,SP,sao bernardo do campo
387,0241d4d5d36f10f80c644447315af0bd,238,237,4.354,25,0,0.0472,31397.7,0.1055,0.0,0.0725,PR,curitiba
388,56642bcb79900e777d68e91915cb4267,48,48,4.062,7,0,0.0833,3657.64,0.1458,0.0,0.0725,SP,sao paulo
389,37515688008a7a40ac93e3b2e4ab203f,228,226,4.093,24,0,0.0796,5986.6,0.1062,0.0,0.0724,SP,dracena
390,f3b80352b986ab4d1057a4b724be19d0,87,87,4.172,11,0,0.0,10505.1,0.1264,0.0,0.0721,DF,brasilia
391,3bdff180c7e1f6551a643b99c265a120,59,58,4.086,8,0,0.0179,3114.9,0.1379,0.0,0.0716,SP,sao paulo
392,7681ef142fd2c19048da7430856b5588,59,58,4.172,8,0,0.0893,31941.81,0.1379,0.0,0.0716,SP,guarulhos
393,2a84855fd20af891be03bc5924d2b453,164,162,4.253,18,3,0.0282,15819.1,0.1111,0.0183,0.0714,MG,belo horizonte
394,f0b47fbbc6dee9aafe415a6e33051b3f,68,68,4.221,9,0,0.1061,3795.91,0.1324,0.0,0.0713,SP,maua
395,5d3bb11474a06bdc23fb9e89f1164ee0,31,31,3.903,5,0,0.0323,3654.6,0.1613,0.0,0.0709,SP,assis
396,01fd077212124329bac32490e8ef80d9,31,31,4.161,5,0,0.0323,1208.0,0.1613,0.0,0.0709,SP,ribeirao preto / sao paulo
397,66e0557ecc2b4dbea057e93f215f68d8,31,31,3.935,5,1,0.2,12480.0,0.1613,0.0323,0.0709,SP,sao paulo
398,83deb69e889cf80f82be1dc6d5f2d486,40,40,4.325,6,0,0.05,5363.01,0.15,0.0,0.0706,SC,florianopolis
399,ad420dd0c4f92f8af951ac24b86d0cf5,42,40,4.125,6,0,0.0732,4705.29,0.15,0.0,0.0706,MG,fronteira
400,bacb1f0ed56ad24198f5810d2b3fe9a5,42,40,4.075,6,3,0.0263,6940.45,0.15,0.0714,0.0706,SP,jacarei
401,fe2032dab1a61af8794248c8196565c9,294,290,4.376,29,0,0.0909,65959.61,0.1,0.0,0.0705,SP,campinas
402,45d33f715e24d15a6ccf5c17b3a23e3c,59,59,4.017,8,2,0.0536,4838.23,0.1356,0.0339,0.0703,SP,sorocaba
403,3078096983cf766a32a06257648502d1,59,59,4.203,8,2,0.0357,8285.42,0.1356,0.0339,0.0703,SP,scao jose do rio pardo
404,1e8b33f18b4f7598d87f5cbee2282cc2,123,121,4.372,14,0,0.0351,17309.06,0.1157,0.0,0.0702,SP,sao paulo
405,f615fe7efbef0f4f08fd3086bc7a3e60,23,23,4.348,4,1,0.0952,2359.27,0.1739,0.0435,0.0698,SP,atibaia
406,3d5d0dc7073a299e31fa718ce1bc00b6,23,23,4.304,4,1,0.0526,790.7,0.1739,0.0435,0.0698,RJ,rio de janeiro
407,c731d18cea9bf687ffee82a241c25b11,24,23,4.217,4,0,0.0,3662.0,0.1739,0.0,0.0698,SC,concordia
